,LOCALITA,TOT_X_TIPO,TOTXEVENSP,E,I,T,D,B,GISID,ID_COMUNE
0,Lido di Volano,74.0,44.0,42.0,14.0,0.0,8.0,10.0,1.0,38006.0
1,Spiaggia romea,37.0,26.0,23.0,7.0,0.0,6.0,1.0,2.0,38006.0
2,Pineta Volano,27.0,15.0,10.0,8.0,0.0,9.0,0.0,3.0,38006.0
3,Bocca del bianco,22.0,14.0,9.0,6.0,0.0,7.0,0.0,4.0,38006.0
4,Lido delle Nazioni,54.0,41.0,37.0,8.0,0.0,5.0,4.0,5.0,38006.0
5,Lido di Pomposa,32.0,27.0,25.0,3.0,0.0,0.0,4.0,6.0,38006.0
6,Lido degli Scacchi,28.0,24.0,20.0,3.0,1.0,0.0,4.0,7.0,38006.0
7,Porto Garibaldi,38.0,20.0,10.0,8.0,12.0,4.0,4.0,8.0,38006.0
8,Lido di Spina sud,67.0,42.0,42.0,5.0,0.0,11.0,9.0,9.0,38006.0
9,Casal Borsetti,20.0,15.0,12.0,5.0,0.0,1.0,2.0,10.0,39014.0
10,Marina Romea,41.0,26.0,23.0,3.0,0.0,5.0,10.0,11.0,39014.0
11,Marina di Ravenna,28.0,16.0,7.0,9.0,6.0,2.0,4.0,12.0,39014.0
12,Punta Marina,41.0,26.0,24.0,8.0,0.0,1.0,8.0,13.0,39014.0
13,Lido Adriano,57.0,30.0,27.0,13.0,0.0,4.0,13.0,14.0,39014.0
14,Lido di Dante,53.0,28.0,25.0,13.0,0.0,4.0,11.0,15.0,39014.0
15,Foce Bevano,22.0,14.0,13.0,5.0,1.0,3.0,0.0,16.0,39014.0
16,Lido di Classe,17.0,11.0,9.0,6.0,0.0,0.0,2.0,17.0,39014.0
17,Lido di Savio,58.0,28.0,25.0,21.0,1.0,4.0,7.0,18.0,39014.0
18,Milano Marittima,56.0,30.0,26.0,15.0,2.0,2.0,11.0,19.0,39007.0
19,Cervia,26.0,15.0,11.0,7.0,3.0,3.0,2.0,20.0,39007.0
20,Ponente-Zadina,52.0,41.0,40.0,9.0,0.0,2.0,1.0,21.0,39007.0
21,Cesenatico,44.0,24.0,19.0,10.0,7.0,4.0,4.0,22.0,40008.0
22,Valverde,63.0,42.0,41.0,11.0,0.0,5.0,6.0,23.0,40008.0
23,Villamarina,38.0,31.0,29.0,4.0,1.0,1.0,3.0,24.0,40008.0
24,Savignano-S.Mauro Pascoli,36.0,25.0,23.0,8.0,1.0,2.0,2.0,25.0,40041.0
25,Bellaria-Igea Marina,46.0,31.0,28.0,9.0,2.0,3.0,4.0,26.0,99001.0
26,Riccione sud,43.0,32.0,30.0,4.0,2.0,1.0,6.0,27.0,99013.0
27,Misano nord,36.0,28.0,28.0,2.0,0.0,4.0,2.0,28.0,99005.0
28,Faro di Goro,24.0,16.0,9.0,5.0,0.0,10.0,0.0,29.0,38025.0
29,Goro,21.0,15.0,0.0,14.0,3.0,3.0,1.0,30.0,38025.0
30,Vene Bellocchio,16.0,10.0,5.0,6.0,1.0,4.0,0.0,31.0,39014.0
31,Rimini nord,38.0,25.0,21.0,9.0,3.0,2.0,3.0,32.0,99014.0
32,Cattolica,14.0,12.0,11.0,1.0,0.0,2.0,0.0,33.0,99002.0
33,Portoverde,15.0,11.0,13.0,1.0,0.0,1.0,0.0,34.0,99005.0
34,Riccione Alba,17.0,14.0,13.0,2.0,0.0,2.0,0.0,35.0,99013.0
35,Rimini sud,6.0,4.0,1.0,2.0,1.0,0.0,2.0,36.0,99014.0
36,Gatteo,26.0,15.0,15.0,7.0,0.0,2.0,2.0,37.0,40016.0
37,Gorino Porto,5.0,4.0,0.0,4.0,0.0,0.0,1.0,38.0,38025.0
