,OBJECTID,ID,NOME
0,1.0,1.0,Bellaria
1,2.0,2.0,Bevano
2,3.0,3.0,Casal Borsetti
3,4.0,4.0,Cattolica
4,5.0,5.0,Cervia
5,6.0,6.0,Cesenatico
6,7.0,7.0,Gatteo a mare
7,8.0,8.0,Goro
8,9.0,9.0,Igea Marina
9,10.0,10.0,Lido Adriano
10,11.0,11.0,Lido degli Estensi
11,12.0,12.0,Lido degli Scacchi
12,13.0,13.0,Lido delle Nazioni
13,14.0,14.0,Lido di Classe
14,15.0,15.0,Lido di Dante
15,16.0,16.0,Lido di Pomposa
16,17.0,17.0,Lido di Savio
17,18.0,18.0,Lido di Spina
18,19.0,19.0,Lido di Volano
19,20.0,20.0,Marina di Ravenna
20,21.0,21.0,Marina Romea
21,22.0,22.0,Milano Marittima
22,23.0,23.0,Misano Marina
23,24.0,24.0,Porto Corsini
24,25.0,25.0,Porto Garibaldi
25,26.0,26.0,Punta Marina
26,27.0,27.0,Riccione Marina
27,28.0,28.0,Rimini
28,29.0,29.0,San Mauro a Mare
29,30.0,30.0,Savignano Mare
